spread,recovery,peak_infection,peak_day,country
0.24412089707453596,0.09999999999999999,13484062.91525342,127,Afghanistan
0.30178938603417066,0.09999995345798439,18155413.112300605,89,Albania
0.28390921964846666,0.09999999999999999,16813982.7467585,101,Algeria
0.29147083918076516,0.09999967109924505,17387488.354868826,97,Andorra
0.25041503445721075,0.08743549710912644,17006177.31861725,114,Angola
0.2129258049936654,0.09403476095106018,11845016.077330085,152,Antigua and Barbuda
0.3294922538533559,0.09999992055945052,20075629.819459032,82,Argentina
0.29899304519119213,0.09999983796720913,17951871.22178197,94,Armenia
0.20619507470236084,0.09999999999999999,9843863.04183575,155,Australia
0.3275858826116458,0.09999978535565103,19942231.56894931,80,Austria
0.25175778738484994,0.09999999999994791,14155611.011186121,114,Azerbaijan
0.2634285541488978,0.0876308725277475,18067599.011084072,106,Bahamas
0.2685200703156328,0.09999997488931231,15575100.781150792,110,Bahrain
0.22183854557992166,0.09992773195045657,11418615.360057522,139,Bangladesh
0.2736276192240657,0.08731556024169705,18984105.29903074,97,Barbados
0.26765256719247543,0.09999999999999973,15512050.365577977,110,Belarus
0.26526553096237876,0.09999999999997228,15306779.364504669,112,Belgium
0.2122475866474105,0.08939336685113516,12877003.467205284,148,Belize
0.24019405764029197,0.08828946425556075,15869876.288756458,122,Benin
0.15346848483989994,0.0999825760169465,41687.43480091868,199,Bhutan
0.28234640601716754,0.09999999985844117,16692231.29169464,98,Bolivia
0.2942930179026242,0.09999884385980647,17593813.774076752,92,Bosnia and Herzegovina
0.18405342107059225,0.08876541404306172,9961564.689930903,176,Botswana
0.34457541802344027,0.0999999857316981,21028854.282082826,77,Brazil
0.2972811445935112,0.09891617002983324,18064398.89535357,94,Brunei
0.28518408360082925,0.0999975216463878,16912274.486220747,93,Bulgaria
0.33701494969919743,0.09999999994414502,20553445.504446045,80,Burkina Faso
0.21174099907364236,0.08969073518485915,12753192.238732092,132,Burma
0.190466613684956,0.09050414780885953,10274897.862894299,172,Burundi
0.2257052399493793,0.08875828418532507,14383588.377178958,134,Cabo Verde
0.17204348757830254,0.09999999970769247,1447040.0916843002,199,Cambodia
0.3164061966626698,0.0999481942718945,19199259.529837232,87,Cameroon
0.18588385365019383,0.09203972672238864,9407568.396832414,190,Central African Republic
0.2268364311287673,0.08863549231032138,14523996.339479424,133,Chad
0.3630093600221294,0.09999996988906364,22152226.866552964,72,Chile
0.17526945031354263,0.09999999999943447,6557205.00664267,147,China
0.3527097718396202,0.09999992586034273,21546683.30281325,75,Colombia
0.2610645071502009,0.08888183975711071,17558448.194256626,108,Congo (Brazzaville)
0.3079159660661321,0.09601309735748503,19481016.379143264,89,Congo (Kinshasa)
0.3152957865440867,0.09999883050933925,19114877.507287342,87,Costa Rica
0.33317381914332694,0.09999999963438715,20316943.577343084,81,Cote d'Ivoire
0.28409084017501013,0.09999970345614724,16827712.072725344,101,Croatia
0.30194683272761935,0.09999999976738294,18168708.281621505,87,Cuba
0.30917182400231763,0.09989116326266897,18708187.51671299,86,Cyprus
0.31854547436061165,0.09999960743363596,19341200.045879588,81,Czechia
